Example response to /action,41743
/fxeq/band/5/freq/str ('0Hz',)
/fxeq/band/5/freq (0.0,)
/fxeq/band/6/freq/str ('0Hz',)
/fxeq/band/6/freq (0.0,)
/fxeq/band/7/freq/str ('0Hz',)
/fxeq/band/7/freq (0.0,)
/fxeq/band/0/gain/str ('0dB',)
/fxeq/band/0/gain (0.5,)
/fxeq/band/1/gain/str ('0dB',)
/fxeq/band/1/gain (0.5,)
/fxeq/band/2/gain/str ('0dB',)
/fxeq/band/2/gain (0.5,)
/fxeq/band/3/gain/str ('0dB',)
/fxeq/band/3/gain (0.5,)
/fxeq/band/4/gain/str ('0dB',)
/fxeq/band/4/gain (0.5,)
/fxeq/band/5/gain/str ('0dB',)
/fxeq/band/5/gain (0.5,)
/fxeq/band/6/gain/str ('0dB',)
/fxeq/band/6/gain (0.5,)
/fxeq/band/7/gain/str ('0dB',)
/fxeq/band/7/gain (0.5,)
/fxeq/band/0/q/str ('1.0',)
/fxeq/band/0/q (0.5,)
/fxeq/band/1/q/str ('1.0',)
/fxeq/band/1/q (0.5,)
/fxeq/band/2/q/str ('1.0',)
/fxeq/band/2/q (0.5,)
/fxeq/band/3/q/str ('1.0',)
/fxeq/band/3/q (0.5,)
/fxeq/band/4/q/str ('1.0',)
/fxeq/band/4/q (0.5,)
/fxeq/band/5/q/str ('1.0',)
/fxeq/band/5/q (0.5,)
/fxeq/band/6/q/str ('1.0',)
/fxeq/band/6/q (0.5,)
/fxeq/band/7/q/str ('1.0',)
/fxeq/band/7/q (0.5,)
/fxeq/notch/freq/str ('0Hz',)
/fxeq/notch/freq (0.0,)
/fxeq/notch/gain/str ('0dB',)
/fxeq/notch/gain (0.5,)
/fxeq/notch/q/str ('1.0',)
/fxeq/notch/q (0.5,)
/fxeq/hishelf/freq/str ('0Hz',)
/fxeq/hishelf/freq (0.0,)
/fxeq/hishelf/gain/str ('0dB',)
/fxeq/hishelf/gain (0.5,)
/fxeq/hishelf/q/str ('1.0',)
/fxeq/hishelf/q (0.5,)
/fxeq/lopass/freq/str ('0Hz',)
/fxeq/lopass/freq (0.0,)
/fxeq/lopass/q/str ('1.0',)
/fxeq/lopass/q (0.5,)
/track/1/name ('Track 1',)
/track/1/number/str ('1',)
/track/1/select (0.0,)
/track/1/volume/db (0.0,)
/track/1/volume/str ('0.00dB',)
/track/1/volume (0.7160000205039978,)
/track/1/panmode ('Balance',)
/track/1/pan2 (0.5,)
/track/1/pan2/str ('',)
/track/1/pan (0.5,)
/track/1/pan/str ('C',)
/track/1/mute (0.0,)
/track/1/mute/toggle (0.0,)
/track/1/solo (0.0,)
/track/1/solo/toggle (0.0,)
/track/1/recarm (0.0,)
/track/1/recarm/toggle (0.0,)
/track/1/monitor (1.0,)
/track/1/autotrim (1.0,)
/track/1/autoread (0.0,)
/track/1/autolatch (0.0,)
/track/1/autotouch (0.0,)
/track/1/autowrite (0.0,)
/track/1/send/1/name ('Send 1',)
/track/1/send/1/volume/str ('-inf dB',)
/track/1/send/1/volume (0.0025138729251921177,)
/track/1/send/1/pan/str ('center',)
/track/1/send/1/pan (0.5,)
/track/1/send/2/name ('Send 2',)
/track/1/send/2/volume/str ('-inf dB',)
/track/1/send/2/volume (0.0025138729251921177,)
/track/1/send/2/pan/str ('center',)
